sex,BMI,height,weight
F,21.0,167.64,58.96696
F,26.47,154.94,63.50288
F,36.51,172.72,108.86208
F,28.7,157.48,71.213944
M,25.85,172.72,77.11064
F,20.12,157.48,49.89512
M,31.51,167.64,88.45044
M,28.24,193.04,105.233344
M,30.03,162.56,79.3786
F,27.42,154.94,65.77084
M,25.7,160.02,65.77084
M,34.69,175.26,106.59412
M,32.55,182.88,108.86208
M,22.49,190.5,81.64656
F,30.15,177.8,95.25432
F,30.3,165.1,82.553744
F,29.05,167.64,81.64656
F,30.69,167.64,86.18248
M,25.84,175.26,79.3786
F,35.55,154.94,85.275296
F,19.2,175.26,58.96696
M,26.76,172.72,79.832192
M,24.29,165.1,66.224432
F,28.33,152.4,65.77084
F,29.2,172.72,87.089664
F,32.77,160.02,83.91452
M,31.41,180.34,102.0582
F,21.93,157.48,54.43104
M,21.43,182.88,71.667536
M,33.66,185.42,115.66596
F,23.11,167.64,64.863656
F,22.8,172.72,68.0388
F,24.81,160.02,63.50288
M,28.0,177.8,88.45044
F,21.93,157.48,54.43104
M,20.24,180.34,65.77084
M,20.99,172.72,62.595696
M,24.96,177.8,78.925008
F,30.56,157.48,75.749864
F,27.36,172.72,81.64656
M,27.47,175.26,84.368112
F,24.89,162.56,65.77084
M,30.44,193.04,113.398
F,37.6,165.1,102.511792
F,38.09,160.02,97.52228
F,28.29,162.56,74.84268
M,26.92,172.72,80.285784
F,37.43,154.94,89.811216
F,24.59,154.94,58.96696
F,25.7,160.02,65.77084
M,24.83,180.34,80.739376
M,25.59,193.04,95.25432
M,26.63,165.1,72.57472
M,35.74,172.72,106.59412
F,24.89,162.56,65.77084
F,26.25,162.56,69.399576
M,22.06,172.72,65.77084
F,23.57,172.72,70.30676
M,23.01,180.34,74.84268
F,18.59,160.02,47.62716
F,27.05,157.48,67.131616
M,22.97,177.8,72.57472
F,20.8,165.1,56.699
M,28.17,170.18,81.64656
F,30.86,162.56,81.64656
F,22.86,157.48,56.699
F,27.46,162.56,72.57472
F,24.38,154.94,58.513368
F,21.98,162.56,58.059776
F,19.57,170.18,56.699
M,22.93,182.88,76.657048
M,25.81,177.8,81.64656
F,31.26,152.4,72.57472
M,25.12,177.8,79.3786
F,24.02,162.56,63.50288
F,23.47,170.18,68.0388
F,31.29,149.86,70.30676
M,27.3,175.26,83.91452
M,23.03,170.18,66.678024
M,27.3,175.26,83.91452
F,30.26,154.94,72.57472
M,22.24,177.8,70.30676
M,26.62,172.72,79.3786
M,39.78,180.34,129.27372
M,38.37,175.26,117.93392
M,24.34,175.26,74.84268
F,30.41,172.72,90.7184
M,29.67,172.72,88.45044
F,31.02,160.02,79.3786
F,31.17,154.94,74.84268
M,28.29,162.56,74.84268
F,22.86,157.48,56.699
M,22.47,187.96,79.3786
M,34.65,162.56,91.625584
F,18.31,165.1,49.89512
M,20.66,175.26,63.50288
F,21.45,162.56,56.699
F,18.45,175.26,56.699
M,28.13,172.72,83.91452
F,21.65,165.1,58.96696
F,47.26,154.94,113.398
M,24.41,185.42,83.91452
F,32.62,160.02,83.460928
F,26.35,152.4,61.23492
F,23.3,165.1,63.50288
M,27.89,190.5,101.151016
M,22.72,170.18,65.77084
F,27.13,167.64,76.203456
M,31.57,177.8,99.79024
M,30.39,175.26,93.439952
M,26.62,170.18,77.11064
F,31.51,149.86,70.760352
M,29.37,190.5,106.59412
F,31.58,162.56,83.460928
F,24.95,165.1,68.0388
F,21.13,170.18,61.23492
F,41.01,154.94,98.429464
M,37.3,177.8,117.93392
F,24.97,154.94,59.874144
F,17.7,175.26,54.43104
M,30.41,172.72,90.7184
F,27.46,160.02,70.30676
F,36.61,165.1,99.79024
F,30.26,175.26,92.98636
F,28.36,160.02,72.57472
M,31.73,162.56,83.91452
M,37.3,177.8,117.93392
F,21.76,154.94,52.16308
F,37.75,162.56,99.79024
F,46.06,160.02,117.93392
F,19.75,170.18,57.152592
M,33.97,170.18,98.429464
F,18.87,162.56,49.89512
F,22.06,172.72,65.77084
M,28.89,187.96,102.0582
M,32.55,182.88,108.86208
F,27.41,170.18,79.3786
F,23.15,162.56,61.23492
F,28.36,160.02,72.57472
M,24.62,165.1,67.131616
F,29.05,167.64,81.64656
M,20.92,180.34,68.0388
F,31.17,154.94,74.84268
F,25.01,154.94,59.874144
M,22.8,172.72,68.0388
M,25.55,172.72,76.203456
M,27.36,172.72,81.64656
F,31.62,165.1,86.18248
M,27.46,162.56,72.57472
M,23.63,175.26,72.57472
F,17.23,170.18,49.89512
F,26.59,162.56,70.30676
M,42.54,160.02,108.86208
F,31.26,152.4,72.57472
M,29.68,175.26,91.171992
F,18.34,162.56,48.534344
F,22.32,162.56,58.96696
F,23.3,165.1,63.50288
F,19.15,165.1,52.16308
M,34.45,170.18,99.79024
M,21.7,182.88,72.57472
M,31.95,172.72,95.25432
M,26.15,172.72,78.017824
M,32.18,175.26,98.883056
F,35.18,162.56,92.98636
M,29.83,182.88,99.79024
F,33.66,170.18,97.52228
F,29.94,165.1,81.64656
F,41.97,149.86,94.347136
F,26.63,167.64,74.84268
F,20.92,162.56,55.338224
M,23.03,170.18,66.678024
M,35.93,187.96,127.00576
M,25.81,177.8,81.64656
M,22.97,177.8,72.57472
F,23.57,172.72,70.30676
M,26.79,180.34,87.089664
F,22.45,165.1,61.23492
F,40.69,167.64,114.305184
F,20.42,154.94,48.987936
M,30.56,177.8,96.615096
M,38.02,177.8,120.20188
F,37.65,175.26,115.66596
M,27.44,165.1,74.84268
F,37.13,167.64,104.32616
F,21.79,167.64,61.23492
F,23.47,170.18,68.0388
F,35.43,160.02,90.7184
M,27.41,170.18,79.3786
F,29.51,172.72,87.996848
F,28.48,162.56,75.296272
M,23.09,187.96,81.64656
F,28.29,165.1,77.11064
F,23.91,160.02,61.23492
F,22.32,162.56,58.96696
M,30.41,172.72,90.7184
F,21.25,160.02,54.43104
M,25.81,177.8,81.64656
M,28.13,172.72,83.91452
F,23.92,175.26,73.481904
F,30.26,154.94,72.57472
M,24.62,165.1,67.131616
F,29.27,157.48,72.57472
M,22.43,185.42,77.11064
M,25.72,162.56,68.0388
F,22.61,167.64,63.50288
F,39.72,154.94,95.25432
F,26.62,170.18,77.11064
F,29.05,167.64,81.64656
F,29.05,167.64,81.64656
F,33.47,162.56,88.45044
M,36.87,190.5,133.80964
M,26.62,170.18,77.11064
M,28.49,182.88,95.25432
M,25.89,170.18,74.84268
M,33.21,182.88,111.13004
M,26.96,187.96,95.25432
F,27.41,157.48,68.0388
F,20.9,160.02,53.523856
F,23.25,152.4,53.977448
M,27.11,182.88,90.7184
F,36.56,157.48,90.7184
F,29.5,162.56,78.017824
F,26.53,157.48,65.77084
F,22.49,157.48,55.791816
M,24.34,175.26,74.84268
F,28.29,162.56,74.84268
F,26.62,170.18,77.11064
M,25.82,170.18,74.84268
F,27.42,154.94,65.77084
M,25.72,162.56,68.0388
F,24.71,167.64,69.399576
M,21.81,187.96,77.11064
F,28.26,149.86,63.50288
M,27.89,175.26,85.728888
F,20.22,172.72,60.327736
M,29.94,165.1,81.64656
F,24.53,167.64,68.945984
M,20.71,185.42,71.213944
M,31.25,190.5,113.398
M,36.01,170.18,104.32616
M,29.87,167.64,83.91452
M,40.45,180.34,131.54168
F,20.47,165.1,55.791816
M,25.1,180.34,81.64656
M,27.47,175.26,84.368112
M,22.69,185.42,78.017824
F,21.11,162.56,55.791816
M,30.52,182.88,102.0582
F,32.6,162.56,86.18248
F,21.13,170.18,61.23492
M,21.67,193.04,80.739376
M,24.02,162.56,63.50288
F,23.23,149.86,52.16308
M,26.55,175.26,81.64656
M,29.52,175.26,90.7184
M,33.93,167.64,95.25432
M,31.68,185.42,108.86208
M,27.9,180.34,90.7184
F,31.31,170.18,90.7184
F,24.95,165.1,68.0388
F,21.29,172.72,63.50288
F,44.94,165.1,122.46984
F,29.79,157.48,73.935496
M,30.52,182.88,102.0582
M,33.5,180.34,108.86208
M,35.25,170.18,102.0582
F,29.52,175.26,90.7184
F,29.13,165.1,79.3786
M,26.16,182.88,87.543256
F,21.26,162.56,56.245408
F,19.39,157.48,48.080752
F,23.91,160.02,61.23492
M,37.36,185.42,128.366536
F,23.3,165.1,63.50288
M,41.33,175.26,127.00576
F,27.78,157.48,68.945984
M,32.99,185.42,113.398
M,28.75,187.96,101.604608
M,23.74,185.42,81.64656
M,23.32,180.34,75.749864
F,31.17,154.94,74.84268
M,28.8,175.26,88.45044
M,41.07,172.72,122.46984
F,24.81,160.02,63.50288
F,23.15,162.56,61.23492
F,20.12,157.48,49.89512
M,33.21,182.88,111.13004
M,27.11,182.88,90.7184
F,18.09,167.64,50.802304
F,29.27,157.48,72.57472
M,30.26,175.26,92.98636
F,27.46,160.02,70.30676
F,25.04,162.56,66.224432
M,25.85,167.64,72.57472
M,28.36,160.02,72.57472
F,25.6,157.48,63.50288
M,28.05,175.26,86.18248
M,26.93,170.18,78.017824
F,42.89,162.56,113.398
F,19.49,160.02,49.89512
M,28.9,172.72,86.18248
F,18.24,172.72,54.43104
M,30.79,182.88,102.965384
M,34.3,185.42,117.93392
F,23.05,160.02,58.96696
F,28.09,167.64,78.925008
F,24.47,165.1,66.678024
F,17.44,167.64,48.987936
M,21.91,185.42,75.296272
M,29.55,167.64,83.007336
F,22.86,157.48,56.699
F,25.19,152.4,58.513368
F,27.46,162.56,72.57472
F,21.0,167.64,58.96696
M,30.61,190.5,111.13004
F,32.29,167.64,90.7184
M,41.33,175.26,127.00576
M,28.89,187.96,102.0582
M,22.33,180.34,72.57472
F,24.15,157.48,59.874144
F,18.87,162.56,49.89512
M,37.28,182.88,124.7378
M,31.41,180.34,102.0582
F,22.5,172.72,67.131616
M,30.44,193.04,113.398
F,23.63,154.94,56.699
F,39.15,170.18,113.398
M,38.27,167.64,107.501304
F,38.76,154.94,92.98636
F,22.48,152.4,52.16308
F,17.5,172.72,52.16308
M,24.39,182.88,81.64656
F,22.32,162.56,58.96696
F,23.47,170.18,68.0388
M,28.13,172.72,83.91452
M,26.52,180.34,86.18248
M,24.89,170.18,72.121128
M,25.06,170.18,72.57472
F,26.62,170.18,77.11064
M,22.24,177.8,70.30676
M,25.08,172.72,74.84268
F,35.67,162.56,94.347136
M,23.59,182.88,78.925008
F,26.93,162.56,71.213944
M,30.69,170.18,88.904032
F,26.56,160.02,68.0388
M,33.46,172.72,99.79024
M,37.3,177.8,117.93392
F,39.31,157.48,97.52228
F,24.95,165.1,68.0388
M,36.27,180.34,117.93392
F,37.07,162.56,97.975872
M,34.1,193.04,127.00576
F,41.33,167.64,116.119552
M,26.55,175.26,81.64656
M,31.25,190.5,113.398
F,33.2,152.4,77.11064
M,25.77,182.88,86.18248
M,34.45,180.34,112.037224
F,20.59,154.94,49.441528
M,24.34,175.26,74.84268
F,25.85,172.72,77.11064
M,24.97,193.04,92.98636
F,44.43,154.94,106.59412
M,34.69,175.26,106.59412
F,23.63,165.1,64.410064
M,33.46,172.72,99.79024
F,27.45,167.64,77.11064
M,30.26,175.26,92.98636
F,27.41,157.48,68.0388
M,25.99,170.18,75.296272
M,38.93,185.42,133.80964
F,33.09,154.94,79.3786
F,23.47,170.18,68.0388
F,32.99,177.8,104.32616
M,32.99,177.8,104.32616
M,31.68,185.42,108.86208
M,22.97,165.1,62.595696
M,22.8,172.72,68.0388
M,31.57,177.8,99.79024
F,30.12,160.02,77.11064
F,21.76,154.94,52.16308
M,25.06,170.18,72.57472
F,29.16,162.56,77.11064
F,28.34,154.94,68.0388
F,22.32,162.56,58.96696
F,28.34,157.48,70.30676
M,30.91,182.88,103.418976
F,24.02,162.56,63.50288
F,27.45,167.64,77.11064
M,30.08,185.42,103.418976
M,26.46,182.88,88.45044
F,28.33,152.4,65.77084
M,26.52,180.34,86.18248
F,21.79,162.56,57.606184
M,24.34,172.72,72.57472
M,25.35,167.64,71.213944
F,28.54,157.48,70.760352
M,25.63,190.5,92.98636
M,19.4,182.88,64.863656
F,21.45,162.56,56.699
M,27.11,182.88,90.7184
M,29.97,175.26,92.079176
F,21.49,152.4,49.89512
M,26.63,165.1,72.57472
M,27.36,172.72,81.64656
M,35.93,187.96,127.00576
F,29.28,152.4,68.0388
M,27.36,172.72,81.64656
F,24.81,160.02,63.50288
M,25.85,167.64,72.57472
M,29.97,175.26,92.079176
M,28.96,170.18,83.91452
F,28.29,162.56,74.84268
M,24.15,185.42,83.007336
F,31.26,152.4,72.57472
M,29.83,182.88,99.79024
F,23.91,160.02,61.23492
F,36.61,165.1,99.79024
F,22.23,170.18,64.410064
F,25.72,162.56,68.0388
F,28.33,152.4,65.77084
M,32.29,167.64,90.7184
F,28.0,177.8,88.45044
F,33.28,165.1,90.7184
F,23.79,170.18,68.945984
M,25.08,182.88,83.91452
F,24.95,165.1,68.0388
M,25.12,177.8,79.3786
F,37.8,154.94,90.7184
F,22.48,152.4,52.16308
M,31.41,180.34,102.0582
F,24.81,160.02,63.50288
M,21.51,177.8,68.0388
M,26.54,177.8,83.91452
M,36.95,185.42,127.00576
F,23.78,157.48,58.96696
F,40.03,157.48,99.336648
F,20.37,170.18,58.96696
M,27.36,172.72,81.64656
M,20.24,180.34,65.77084
M,25.09,175.26,77.11064
F,32.01,157.48,79.3786
F,27.46,160.02,70.30676
F,27.46,162.56,72.57472
M,33.21,170.18,96.161504
F,24.95,165.1,68.0388
F,24.41,152.4,56.699
F,25.82,170.18,74.84268
M,26.45,172.72,78.925008
M,21.7,182.88,72.57472
F,22.32,162.56,58.96696
F,25.85,167.64,72.57472
M,29.05,167.64,81.64656
F,21.45,162.56,56.699
M,33.5,180.34,108.86208
F,21.13,170.18,61.23492
F,25.03,157.48,62.142104
M,22.97,177.8,72.57472
M,22.13,175.26,68.0388
F,24.02,162.56,63.50288
F,26.59,162.56,70.30676
M,31.41,180.34,102.0582
M,31.95,172.72,95.25432
F,26.15,172.72,78.017824
M,28.13,172.72,83.91452
F,21.45,162.56,56.699
M,28.8,175.26,88.45044
F,34.75,157.48,86.18248
M,28.29,165.1,77.11064
F,22.32,162.56,58.96696
M,27.46,162.56,72.57472
F,21.56,162.56,57.152592
F,19.48,165.1,53.070264
M,21.13,170.18,61.23492
F,33.28,165.1,90.7184
F,31.52,160.02,80.739376
M,26.79,180.34,87.089664
M,28.24,187.96,99.79024
M,28.13,172.72,83.91452
M,25.99,190.5,94.347136
M,29.67,172.72,88.45044
F,28.8,175.26,88.45044
M,28.25,185.42,97.068688
F,31.31,170.18,90.7184
F,22.67,154.94,54.43104
M,28.17,170.18,81.64656
F,25.08,172.72,74.84268
M,25.84,175.26,79.3786
M,23.3,165.1,63.50288
F,18.58,167.64,52.16308
F,23.47,170.18,68.0388
F,24.14,165.1,65.77084
M,31.73,175.26,97.52228
F,20.21,175.26,62.142104
F,24.81,160.02,63.50288
F,32.29,167.64,90.7184
M,26.62,170.18,77.11064
M,23.76,193.04,88.45044
F,33.83,170.18,97.975872
M,32.69,172.72,97.52228
F,32.73,170.18,94.800728
M,24.95,165.1,68.0388
F,29.94,165.1,81.64656
M,23.63,175.26,72.57472
F,30.26,154.94,72.57472
M,29.76,170.18,86.18248
M,23.99,180.34,78.017824
F,33.83,160.02,86.636072
M,21.5,185.42,73.935496
M,30.41,172.72,90.7184
F,28.36,160.02,72.57472
F,21.04,157.48,52.16308
F,19.96,165.1,54.43104
F,23.43,167.64,65.77084
M,31.31,170.18,90.7184
F,24.81,160.02,63.50288
M,31.57,177.8,99.79024
M,26.68,187.96,94.347136
F,25.03,167.64,70.30676
M,32.32,185.42,111.13004
F,23.11,167.64,64.863656
F,18.87,162.56,49.89512
M,22.13,175.26,68.0388
F,23.04,152.4,53.523856
M,20.52,172.72,61.23492
F,22.32,162.56,58.96696
M,31.68,185.42,108.86208
F,22.21,149.86,49.89512
M,24.21,167.64,68.0388
F,33.28,165.1,90.7184
M,30.39,175.26,93.439952
F,25.82,170.18,74.84268
F,28.36,160.02,72.57472
F,25.53,167.64,71.667536
F,21.75,170.18,63.049288
F,25.51,154.94,61.23492
M,24.35,193.04,90.7184
M,25.06,170.18,72.57472
M,26.18,193.04,97.52228
F,27.46,162.56,72.57472
F,28.51,170.18,82.553744
F,26.53,157.48,65.77084
F,25.82,170.18,74.84268
M,27.27,177.8,86.18248
M,39.15,170.18,113.398
F,23.15,162.56,61.23492
M,32.9,170.18,95.25432
F,38.02,157.48,94.347136
F,21.45,162.56,56.699
F,21.29,172.72,63.50288
F,21.45,162.56,56.699
F,19.78,172.72,58.96696
F,22.06,172.72,65.77084
M,23.63,175.26,72.57472
M,39.15,170.18,113.398
F,21.6,160.02,55.338224
F,22.72,170.18,65.77084
M,25.09,175.26,77.11064
M,25.08,182.88,83.91452
M,27.36,172.72,81.64656
F,21.13,170.18,61.23492
F,19.37,167.64,54.43104
M,27.27,177.8,86.18248
F,19.74,162.56,52.16308
F,21.65,165.1,58.96696
F,22.72,170.18,65.77084
F,21.93,157.48,54.43104
F,34.38,160.02,87.996848
M,24.43,180.34,79.3786
F,28.9,172.72,86.18248
F,26.62,170.18,77.11064
M,22.8,172.72,68.0388
F,25.51,154.94,61.23492
F,28.29,165.1,77.11064
M,25.41,187.96,89.811216
F,21.41,157.48,53.070264
F,22.32,162.56,58.96696
F,21.65,165.1,58.96696
F,21.0,167.64,58.96696
M,28.0,177.8,88.45044
F,22.72,170.18,65.77084
F,26.56,160.02,68.0388
M,18.13,190.5,65.77084
F,29.28,152.4,68.0388
F,38.02,172.72,113.398
F,19.37,167.64,54.43104
F,23.42,152.4,54.43104
F,24.89,162.56,65.77084
M,23.05,182.88,77.11064
F,36.05,162.56,95.25432
M,27.27,177.8,86.18248
M,25.53,167.64,71.667536
F,26.63,165.1,72.57472
F,18.78,170.18,54.43104
F,19.01,172.72,56.699
M,25.75,185.42,88.45044
M,35.27,172.72,105.233344
M,32.99,185.42,113.398
F,23.3,165.1,63.50288
M,23.05,160.02,58.96696
M,32.99,177.8,104.32616
F,23.05,160.02,58.96696
M,29.03,185.42,99.79024
F,27.36,172.72,81.64656
F,35.18,154.94,84.368112
F,18.87,162.56,49.89512
F,21.45,162.56,56.699
M,31.62,165.1,86.18248
M,27.11,182.88,90.7184
F,25.7,160.02,65.77084
F,26.63,165.1,72.57472
F,21.04,157.48,52.16308
M,29.16,162.56,77.11064
M,32.55,182.88,108.86208
F,18.31,165.1,49.89512
M,30.15,177.8,95.25432
M,25.81,177.8,81.64656
F,31.52,160.02,80.739376
M,22.24,177.8,70.30676
F,25.68,170.18,74.389088
M,21.29,172.72,63.50288
M,32.55,182.88,108.86208
M,24.27,170.18,70.30676
F,21.93,157.48,54.43104
M,27.41,170.18,79.3786
M,23.66,177.8,74.84268
M,29.13,165.1,79.3786
F,22.47,162.56,59.420552
M,28.49,182.88,95.25432
M,27.11,182.88,90.7184
M,27.83,172.72,83.007336
M,33.23,175.26,102.0582
M,30.01,190.5,108.86208
M,20.66,175.26,63.50288
F,26.35,152.4,61.23492
F,32.6,162.56,86.18248
M,40.45,180.34,131.54168
F,22.72,170.18,65.77084
M,42.58,172.72,127.00576
M,24.43,180.34,79.3786
F,41.19,162.56,108.86208
M,25.06,170.18,72.57472
M,23.89,167.64,67.131616
F,28.01,160.02,71.667536
F,22.61,167.64,63.50288
M,21.51,177.8,68.0388
F,33.82,157.48,83.91452
F,19.15,165.1,52.16308
F,37.26,154.94,89.357624
F,19.78,172.72,58.96696
F,25.06,170.18,72.57472
M,33.66,170.18,97.52228
F,32.88,154.94,78.925008
M,24.27,170.18,70.30676
F,20.61,149.86,46.266384
M,36.9,175.26,113.398
F,24.95,165.1,68.0388
F,21.6,160.02,55.338224
M,27.35,180.34,88.904032
F,21.25,175.26,65.317248
M,27.9,180.34,90.7184
M,25.77,182.88,86.18248
F,22.8,172.72,68.0388
F,30.1,152.4,69.853168
F,19.49,160.02,49.89512
F,21.0,167.64,58.96696
M,26.13,177.8,82.553744
F,36.76,165.1,100.243832
M,20.9,182.88,69.853168
M,26.18,193.04,97.52228
M,21.29,172.72,63.50288
M,24.34,172.72,72.57472
F,29.01,162.56,76.657048
F,22.8,172.72,68.0388
F,29.76,170.18,86.18248
M,25.85,172.72,77.11064
F,25.72,162.56,68.0388
M,26.39,185.42,90.7184
M,28.13,190.5,102.0582
M,28.89,180.34,93.893544
M,26.63,167.64,74.84268
M,29.03,185.42,99.79024
M,27.41,170.18,79.3786
F,20.08,162.56,53.070264
M,25.75,185.42,88.45044
M,21.63,180.34,70.30676
F,31.51,167.64,88.45044
M,23.74,182.88,79.3786
F,28.69,177.8,90.7184
M,28.0,177.8,88.45044
M,28.49,182.88,95.25432
F,26.62,170.18,77.11064
F,25.82,170.18,74.84268
F,29.16,162.56,77.11064
M,23.16,170.18,67.131616
F,30.12,160.02,77.11064
M,29.42,177.8,92.98636
M,39.45,177.8,124.7378
M,39.15,170.18,113.398
F,21.51,177.8,68.0388
M,25.82,170.18,74.84268
M,26.84,182.88,89.811216
F,20.39,160.02,52.16308
F,24.21,167.64,68.0388
F,24.95,165.1,68.0388
F,24.14,165.1,65.77084
F,33.2,152.4,77.11064
M,26.46,182.88,88.45044
F,25.51,154.94,61.23492
F,36.01,170.18,104.32616
F,22.97,177.8,72.57472
F,23.83,162.56,63.049288
M,31.57,177.8,99.79024
F,32.29,167.64,90.7184
F,28.03,170.18,81.192968
M,23.05,182.88,77.11064
F,19.84,160.02,50.802304
F,43.91,162.56,116.119552
M,27.73,185.42,95.25432
M,22.4,170.18,64.863656
M,26.39,185.42,90.7184
M,23.47,170.18,68.0388
M,24.99,190.5,90.7184
M,22.97,172.72,68.492392
M,23.63,175.26,72.57472
M,31.01,175.26,95.25432
F,23.91,160.02,61.23492
M,43.61,167.64,122.46984
M,22.47,187.96,79.3786
M,26.15,172.72,78.017824
F,28.82,162.56,76.203456
F,23.15,162.56,61.23492
M,31.95,172.72,95.25432
F,23.3,165.1,63.50288
F,20.51,167.64,57.606184
F,23.47,170.18,68.0388
M,30.52,162.56,80.739376
F,33.46,172.72,99.79024
F,20.39,160.02,52.16308
M,21.88,190.5,79.3786
F,44.3,160.02,113.398
F,22.32,162.56,58.96696
F,23.81,165.1,64.863656
F,24.81,160.02,63.50288
F,20.24,162.56,53.523856
M,31.31,170.18,90.7184
F,25.06,170.18,72.57472
F,38.42,157.48,95.25432
F,20.08,172.72,59.874144
M,22.45,165.1,61.23492
M,26.46,182.88,88.45044
F,24.14,165.1,65.77084
F,25.46,165.1,69.399576
F,25.19,152.4,58.513368
F,26.59,162.56,70.30676
F,24.59,154.94,58.96696
M,35.38,185.42,121.562656
M,25.08,182.88,83.91452
F,20.28,157.48,50.348712
M,28.13,172.72,83.91452
F,43.95,160.02,112.490816
M,29.51,187.96,104.32616
M,35.63,190.5,129.27372
M,27.27,177.8,86.18248
F,24.55,162.56,64.863656
F,20.58,162.56,54.43104
M,28.13,172.72,83.91452
F,22.61,167.64,63.50288
M,28.69,177.8,90.7184
M,20.52,172.72,61.23492
F,38.09,160.02,97.52228
F,23.16,170.18,67.131616
F,34.45,170.18,99.79024
F,20.19,167.64,56.699
F,28.34,157.48,70.30676
M,22.33,180.34,72.57472
M,32.09,187.96,113.398
M,22.8,172.72,68.0388
M,38.79,180.34,126.098576
M,30.26,175.26,92.98636
M,31.45,182.88,105.233344
F,33.94,175.26,104.32616
F,26.84,154.94,64.410064
M,29.15,182.88,97.52228
M,27.11,182.88,90.7184
F,38.47,177.8,121.562656
F,17.79,165.1,48.534344
F,32.42,160.02,83.007336
F,39.72,154.94,95.25432
M,26.63,165.1,72.57472
M,24.21,167.64,68.0388
M,28.27,167.64,79.3786
F,21.29,172.72,63.50288
M,24.04,172.72,71.667536
F,20.58,162.56,54.43104
M,28.69,177.8,90.7184
F,21.92,170.18,63.50288
F,29.05,167.64,81.64656
M,30.83,167.64,86.636072
M,23.74,182.88,79.3786
F,26.59,162.56,70.30676
M,25.77,182.88,86.18248
M,26.62,172.72,79.3786
M,26.83,177.8,84.821704
F,24.02,162.56,63.50288
F,27.66,160.02,70.760352
M,31.31,170.18,90.7184
M,33.94,175.26,104.32616
F,26.26,154.94,63.049288
M,29.83,182.88,99.79024
M,34.1,193.04,127.00576
F,20.51,167.64,57.606184
F,36.48,160.02,93.439952
F,24.95,172.72,74.389088
F,44.59,162.56,117.93392
M,36.27,180.34,117.93392
F,20.58,162.56,54.43104
F,22.2,172.72,66.224432
F,36.61,165.1,99.79024
F,18.16,170.18,52.616672
F,32.6,162.56,86.18248
M,27.3,175.26,83.91452
F,28.16,160.02,72.121128
F,33.82,157.48,83.91452
M,33.94,175.26,104.32616
M,25.03,167.64,70.30676
F,21.26,162.56,56.245408
F,21.51,177.8,68.0388
F,39.15,170.18,113.398
M,28.9,172.72,86.18248
F,32.9,157.48,81.64656
F,39.15,170.18,113.398
F,24.89,162.56,65.77084
M,24.7,180.34,80.285784
F,29.96,160.02,76.657048
F,42.54,160.02,108.86208
F,24.21,167.64,68.0388
F,29.27,157.48,72.57472
F,29.87,167.64,83.91452
F,22.32,162.56,58.96696
M,37.13,167.64,104.32616
M,41.68,172.72,124.284208
M,25.77,182.88,86.18248
F,24.41,152.4,56.699
M,34.71,167.64,97.52228
M,31.01,175.26,95.25432
M,27.01,175.26,83.007336
F,27.95,162.56,73.935496
F,31.08,157.48,77.11064
F,26.26,149.86,58.96696
F,27.27,162.56,72.121128
F,28.05,175.26,86.18248
F,28.54,157.48,70.760352
F,20.37,170.18,58.96696
F,23.91,160.02,61.23492
M,30.52,182.88,102.0582
F,21.32,165.1,58.059776
F,25.25,175.26,77.564232
F,19.36,177.8,61.23492
F,21.92,170.18,63.50288
F,22.86,157.48,56.699
F,22.43,167.64,63.049288
M,29.52,175.26,90.7184
F,28.34,157.48,70.30676
M,21.7,182.88,72.57472
F,20.37,170.18,58.96696
M,22.75,175.26,69.853168
M,28.8,175.26,88.45044
F,21.93,157.48,54.43104
M,23.74,187.96,83.91452
F,20.2,160.02,51.709488
F,31.31,170.18,90.7184
M,32.99,177.8,104.32616
F,20.12,157.48,49.89512
F,22.8,172.72,68.0388
F,24.26,160.02,62.142104
M,25.81,177.8,81.64656
F,18.44,160.02,47.173568
F,41.87,162.56,110.676448
M,26.54,177.8,83.91452
F,24.89,162.56,65.77084
M,25.1,180.34,81.64656
F,23.43,167.64,65.77084
M,21.32,165.1,58.059776
M,23.1,172.72,68.945984
F,32.29,167.64,90.7184
M,31.68,185.42,108.86208
F,23.42,154.94,56.245408
M,32.82,182.88,109.769264
F,42.18,154.94,101.151016
F,22.72,170.18,65.77084
F,17.73,160.02,45.3592
F,25.72,162.56,68.0388
F,22.86,157.48,56.699
F,27.45,167.64,77.11064
F,33.11,167.64,92.98636
M,25.1,180.34,81.64656
M,31.51,167.64,88.45044
M,23.72,180.34,77.11064
M,24.34,172.72,72.57472
F,32.9,170.18,95.25432
M,32.69,172.72,97.52228
F,27.12,162.56,71.667536
F,19.2,175.26,58.96696
M,32.09,187.96,113.398
F,22.66,162.56,59.874144
F,32.9,170.18,95.25432
F,27.97,154.94,67.131616
M,31.13,177.8,98.429464
M,29.83,177.8,94.347136
F,42.54,160.02,108.86208
F,24.21,167.64,68.0388
F,39.15,170.18,113.398
M,36.51,172.72,108.86208
M,24.43,180.34,79.3786
M,19.78,185.42,68.0388
F,32.9,157.48,81.64656
M,25.75,185.42,88.45044
F,21.92,170.18,63.50288
M,29.42,177.8,92.98636
M,30.86,162.56,81.64656
F,30.26,154.94,72.57472
M,34.12,165.1,92.98636
M,24.5,175.26,75.296272
F,25.4,152.4,58.96696
F,21.49,152.4,49.89512
F,25.23,162.56,66.678024
F,20.39,160.02,52.16308
M,23.15,162.56,61.23492
F,22.61,167.64,63.50288
M,36.27,180.34,117.93392
M,23.74,187.96,83.91452
F,29.55,167.64,83.007336
